customer_id,account_id,full_name,occupation,declared_income_band,country_of_residence,account_open_date,is_pep,is_high_risk_jurisdiction
CUS-75125432,RCV-59FAF9B1,Liam Dubois,Unknown,25k-50k,SG,2011-08-14,False,False
CUS-CEB4147B,SND-54F777E7,Maria Dubois,Pharmacist,25k-50k,SG,2019-09-26,False,False
CUS-2AD530EB,RCV-CB7BBFDE,Diego Petrova,Student,50k-100k,AU,2015-10-06,False,False
CUS-F9286489,SND-367389EE,Anya Petrova,Pharmacist,<25k,US,2015-04-03,False,False
CUS-7010F7FE,SND-AF008D59,Amara Mueller,Accountant,25k-50k,PT,2006-09-02,False,False
CUS-3548FFC3,SND-7D9D0C24,Fatima Smith,Doctor,100k-250k,US,2002-10-20,False,False
CUS-B5415407,SND-5CB72CAE,Diego Dubois,Doctor,50k-100k,AU,2020-02-08,False,False
CUS-AEF9BB99,SND-5CE65F31,Chen Lindqvist,Doctor,25k-50k,DK,2014-02-03,False,False
CUS-94997411,RCV-C46F6B98,Elena Hassan,Lawyer,50k-100k,NL,2015-08-19,False,False
CUS-958C437D,RCV-BF0824F6,Ingrid Brown,Unknown,50k-100k,DK,2001-05-25,False,False
CUS-CCCAC51A,RCV-1F31BA44,Lucas Dubois,Civil Servant,250k+,FR,2008-12-22,False,False
CUS-3E773023,SND-73D64B62,Priya Hassan,Nurse,25k-50k,SO,2009-10-22,False,True
CUS-6331AEF8,RCV-DC0BD717,Fatima Hassan,Civil Servant,<25k,PK,2014-07-27,False,True
CUS-4E2DDC20,RCV-83071B5A,Valentina Mueller,Chef,25k-50k,AT,2008-07-26,False,False
CUS-99CE4151,RCV-4EDAE901,Ingrid Mueller,Software Engineer,250k+,FI,2021-10-06,False,False
CUS-2B64F1D3,RCV-D480124C,Omar Mueller,Teacher,250k+,AU,2006-05-14,False,False
CUS-7E02338D,SND-19130D9B,Ingrid Ali,Software Engineer,<25k,AU,2004-09-19,False,False
CUS-79FE4AF8,SND-08F36351,Mohammed Smith,Lawyer,250k+,IT,2014-08-02,False,False
CUS-8FA1BD6B,RCV-23B72F7A,Diego Ibrahim,Freelancer,100k-250k,NL,2016-09-27,False,False
CUS-020A9960,SND-72B94ABC,Mohammed Nguyen,Freelancer,100k-250k,NZ,2019-02-05,False,False
CUS-ECAFE7AF,SND-AF83186D,Lucas Osei,Import/Export Manager,<25k,PT,2019-07-12,False,False
CUS-5CBED2E9,SND-2C5E1C65,Fatima Kim,Pharmacist,25k-50k,PT,2014-11-24,False,False
CUS-64833BF9,RCV-222E7F66,Kwame Petrova,Teacher,<25k,SE,2001-03-01,False,False
CUS-848C30D2,SND-40DA3557,Amara Sharma,Business Owner,250k+,FR,2018-05-10,False,False
CUS-1B31493C,SND-D1D6FC1A,Valentina Ali,Politician,50k-100k,BY,2015-06-17,False,True
CUS-E3BB8020,SND-390029FE,Diego Sharma,Politician,<25k,AU,2015-10-01,False,False
CUS-D9A33361,RCV-F25DE83D,Chen Mensah,Business Owner,100k-250k,CA,2011-12-20,False,False
CUS-2A3A9B42,RCV-1F0D63DB,Omar Smith,Lawyer,250k+,FR,2020-01-15,False,False
CUS-D1441321,RCV-BB94BF0E,Chen Wang,Architect,<25k,DK,2008-07-28,False,False
CUS-487C05D6,SND-CE664D2B,Diego Kim,Lawyer,250k+,VE,2007-02-09,False,True
CUS-5C58EC43,SND-6F9440DF,Aiko Smith,Doctor,50k-100k,ES,2010-03-25,False,False
CUS-934152BD,SND-6622028C,Kwame Brown,Doctor,100k-250k,SG,2007-04-20,True,False
CUS-29DD0FB1,RCV-7574B1B2,Amara Hassan,Doctor,50k-100k,GB,2001-12-23,False,False
CUS-EE53623A,SND-C8116B36,Mohammed Nguyen,Teacher,50k-100k,CH,2008-03-15,False,False
CUS-E05E6FE6,SND-F827CEA7,Aiko Fernandez,Consultant,250k+,BE,2006-06-11,False,False
CUS-7F75F2BB,RCV-2EED6433,Chen Nguyen,Unknown,<25k,SG,2007-08-22,False,False
CUS-DC681BF3,RCV-0158351F,Sofia Fernandez,Doctor,250k+,ZW,2001-11-28,False,True
CUS-85FA6ED3,SND-D1D3F9E9,Fatima Ali,Doctor,25k-50k,SE,2014-04-10,False,False
CUS-E86A22B4,RCV-4734DDA4,Yusuf Tanaka,Pharmacist,250k+,SG,2011-07-09,False,False
CUS-40C7712C,SND-A9846FDC,Aiko Kim,Import/Export Manager,25k-50k,FI,2000-06-05,False,False
CUS-7DC04B05,RCV-5B70A4EF,James Petrova,Retired,25k-50k,CH,2016-02-07,False,False
CUS-5CDCD443,RCV-A2482308,Elena Hassan,Civil Servant,<25k,DE,2013-12-13,False,False
CUS-1411A9C6,RCV-D2C47954,Amara Smith,Civil Servant,25k-50k,SE,2019-08-22,False,False
CUS-03A8ED89,RCV-4B87C329,Noah Ibrahim,Software Engineer,250k+,SO,2016-03-13,False,True
CUS-130CF975,SND-38449D40,Chen Hassan,Real Estate Agent,100k-250k,PK,2008-03-16,False,True
CUS-F963641E,SND-40EEB1C8,Chen Garcia,Import/Export Manager,25k-50k,SY,2003-07-26,False,True
CUS-06A34B80,SND-BAA65A4C,Aiko Mueller,Business Owner,25k-50k,JP,2018-08-27,False,False
CUS-49C03E49,SND-655E98E6,Liam Ali,Pharmacist,<25k,NZ,2014-12-28,False,False
CUS-E3F06C99,SND-6D73BBBE,Valentina Fernandez,Unknown,100k-250k,AU,2011-10-21,False,False
CUS-6ED82395,SND-80718C9B,Diego Santos,Doctor,250k+,BE,2010-05-08,False,False
CUS-C9431F43,RCV-3363F780,Priya Mensah,Retired,50k-100k,SG,2009-04-27,False,False
CUS-C51BB889,SND-76E8AC27,Liam Petrova,Software Engineer,<25k,NZ,2002-06-18,False,False
CUS-1E4D6280,RCV-A297B0AF,James Smith,Trader,25k-50k,SD,2013-05-04,False,True
CUS-467BF0FB,SND-8F20F5D7,Sofia Osei,Unknown,50k-100k,AU,2017-05-25,False,False
CUS-9BF31DE2,SND-D8349A19,Priya Mensah,Chef,<25k,AT,2018-07-16,False,False
CUS-AF9A0046,SND-D3696DA8,Mohammed Rossi,Pharmacist,<25k,PT,2014-01-19,False,False
CUS-2F70F7DD,SND-4D9F6809,Mohammed Ibrahim,Pharmacist,100k-250k,JP,2017-04-13,False,False
CUS-63CAE5B6,SND-84004155,Elena Dubois,Teacher,<25k,NO,2010-08-25,False,False
CUS-9F0F1A8A,SND-751FACEF,Amara Ibrahim,Real Estate Agent,50k-100k,DE,2017-06-17,False,False
CUS-1CAD599B,RCV-37518FDE,James Tanaka,Software Engineer,25k-50k,ES,2021-04-24,False,False
CUS-96E3D485,RCV-5233D3CD,James Ibrahim,Lawyer,<25k,FI,2004-07-19,False,False
CUS-C5201A51,SND-8B45C03A,Valentina Wang,Retired,250k+,PT,2009-11-14,False,False
CUS-1C5D5162,SND-75485FA9,Omar Smith,Doctor,<25k,BE,2019-09-23,False,False
CUS-6FC46F17,SND-F9305476,Fatima Garcia,Unknown,50k-100k,CH,2003-12-21,False,False
CUS-A74029DC,RCV-776D28E5,Aiko Lindqvist,Real Estate Agent,25k-50k,FI,2017-07-11,False,False
CUS-94D73A13,SND-5517113A,Amara Hassan,Real Estate Agent,50k-100k,BE,2008-12-09,True,False
CUS-7D6928EB,RCV-C4104998,Chen Osei,Import/Export Manager,25k-50k,ES,2004-09-07,False,False
CUS-2FA96914,RCV-6726E250,Valentina Ali,Consultant,100k-250k,US,2006-07-06,False,False
CUS-6E303E23,SND-0B4D5470,Aiko Mueller,Retired,25k-50k,GB,2005-07-04,False,False
CUS-10ECCF2A,SND-614197D2,Chen Smith,Retired,100k-250k,FR,2000-03-23,False,False
CUS-902737EB,SND-0BFB4E2C,Priya Smith,Chef,100k-250k,BE,2012-08-17,False,False
CUS-50AC2D25,SND-2F79F6E5,Aiko Tanaka,Accountant,250k+,NZ,2012-04-01,False,False
CUS-A233BB2E,SND-A26B967B,Fatima Santos,Teacher,50k-100k,DK,2006-08-18,False,False
CUS-AC11FFBE,SND-02214A63,Diego Sharma,Nurse,250k+,PT,2014-11-11,False,False
CUS-A3F45ECF,SND-85E33EB6,Mohammed Smith,Import/Export Manager,50k-100k,NZ,2017-06-03,False,False
CUS-914CDFFD,SND-FB0046FF,Valentina Brown,Freelancer,<25k,FR,2005-02-10,False,False
CUS-CD21ADC3,SND-07C58CBD,Valentina Kim,Accountant,250k+,DE,2011-03-01,False,False
CUS-11C7E791,RCV-97221F64,Fatima Ibrahim,Lawyer,<25k,NZ,2007-03-16,False,False
CUS-7906B9FC,RCV-6EDF5907,Yusuf Nguyen,Teacher,25k-50k,DK,2006-02-23,False,False
CUS-666DAAA7,SND-75376D65,Fatima Ibrahim,Civil Servant,25k-50k,AT,2003-08-28,False,False
CUS-EB5B888C,SND-457894D3,Omar Osei,Software Engineer,<25k,JP,2001-12-17,False,False
CUS-22849EF7,SND-75944038,Maria Rossi,Doctor,100k-250k,BE,2010-10-22,True,False
CUS-39892E1C,RCV-571A5F78,James Smith,Chef,<25k,NO,2016-12-28,False,False
CUS-FBCAAA7B,SND-B2B08E35,Liam Brown,Consultant,<25k,NL,2018-03-21,False,False
CUS-4ADA6D01,SND-526DC1FD,Mohammed Wang,Retired,25k-50k,NZ,2002-03-01,False,False
CUS-DDE35238,RCV-FCC40D51,Maria Brown,Unknown,<25k,DK,2019-03-15,False,False
CUS-26BE408E,SND-9C76B09E,James Ali,Student,25k-50k,BE,2004-03-28,False,False
CUS-FB87CF4C,RCV-ECDB7533,Lucas Tanaka,Import/Export Manager,<25k,AT,2000-06-17,False,False
CUS-113BD923,SND-E015AC7F,Anya Petrova,Freelancer,100k-250k,BE,2013-11-16,False,False
CUS-20FDE05C,RCV-DB510DD9,Fatima Rossi,Freelancer,<25k,NO,2000-12-08,False,False
CUS-E93A1930,SND-72E082BA,Sofia Smith,Doctor,<25k,JP,2006-01-06,False,False
CUS-9EBFFCF4,RCV-B544D76C,Valentina Dubois,Business Owner,<25k,JP,2017-08-03,False,False
CUS-6ADF12C8,RCV-98D5331B,Chen Nguyen,Chef,25k-50k,SE,2000-08-08,False,False
CUS-016A7EC5,SND-72B41024,Fatima Nguyen,Student,50k-100k,DE,2002-02-14,False,False
CUS-0966B199,SND-1D7EA4EE,Kwame Kim,Import/Export Manager,250k+,FI,2005-03-18,False,False
CUS-891076E9,SND-976C829F,Chen Santos,Consultant,<25k,FR,2003-11-03,True,False
CUS-9C575B33,RCV-D9FAFB7D,James Mueller,Trader,<25k,NZ,2019-03-25,False,False
CUS-877C0497,RCV-E5031EDC,Diego Wang,Teacher,50k-100k,FI,2013-10-08,False,False
CUS-E5705F1B,SND-581FD37A,Amara Wang,Teacher,50k-100k,IR,2014-06-09,False,True
CUS-42B1B613,SND-07C37BE7,Ingrid Smith,Retired,100k-250k,AU,2013-10-18,False,False
CUS-CDAFA4C8,SND-EA5F0C74,Anya Santos,Nurse,100k-250k,CA,2012-03-01,True,False
CUS-DC0D6D3B,SND-4E4C5D33,Ingrid Lindqvist,Pharmacist,50k-100k,SE,2014-08-25,False,False
CUS-2D8097D0,SND-8664E9AB,Amara Tanaka,Real Estate Agent,<25k,SE,2011-05-18,False,False
CUS-05727564,SND-45DF7669,Noah Kim,Business Owner,25k-50k,US,2012-04-10,False,False
CUS-96C187BE,SND-F486239D,Sofia Osei,Lawyer,25k-50k,DK,2006-06-10,False,False
CUS-75CAA92B,RCV-553C1B38,Sofia Brown,Software Engineer,100k-250k,ES,2011-12-24,False,False
CUS-3ED0A74B,RCV-B5AF101F,Aiko Osei,Accountant,100k-250k,JP,2001-06-26,False,False
CUS-58D5BF1D,SND-576C384F,Fatima Hassan,Software Engineer,<25k,ES,2010-02-03,False,False
CUS-BEB0A0F1,SND-80C2A308,Yusuf Ali,Retired,25k-50k,SG,2012-04-10,False,False
CUS-ADDA7BAF,SND-7E811E8D,Noah Dubois,Real Estate Agent,100k-250k,FR,2012-06-11,False,False
CUS-1EE13AEB,RCV-27ED536C,Maria Petrova,Trader,25k-50k,CA,2020-12-26,False,False
CUS-0D62D877,RCV-D277AE7D,Sofia Dubois,Architect,250k+,CH,2021-05-08,False,False
CUS-0FCCAEAF,SND-665D2FB2,Chen Petrova,Nurse,<25k,PT,2019-06-25,False,False
CUS-BEAFE633,SND-6BDC8233,Yusuf Sharma,Civil Servant,50k-100k,DK,2015-06-27,False,False
CUS-45C02EB5,SND-42720ABD,Ingrid Wang,Business Owner,50k-100k,ES,2002-11-02,False,False
CUS-6E6AC8AF,SND-8A63B14C,Chen Kim,Teacher,100k-250k,PT,2020-03-18,False,False
CUS-C79FF65D,SND-BA9DDA56,Omar Wang,Consultant,250k+,SG,2014-01-10,False,False
CUS-1A41DB8A,RCV-48609530,Chen Santos,Student,25k-50k,SG,2009-10-28,False,False
CUS-EF6A1744,SND-83D3DC56,Mohammed Garcia,Trader,100k-250k,NO,2006-08-27,False,False
CUS-C77E1504,SND-BB1B19EF,Elena Dubois,Accountant,100k-250k,KP,2021-03-01,False,True
CUS-4AA837BC,RCV-47B52880,Chen Kim,Lawyer,250k+,FI,2010-09-11,True,False
CUS-466CA7C5,SND-1F345EE1,Elena Kim,Unknown,<25k,FR,2000-07-14,False,False
CUS-E49A82F3,SND-CA4062B7,Diego Tanaka,Pharmacist,250k+,NL,2006-05-09,False,False
CUS-95895AA8,SND-0C4A7F10,Mohammed Ibrahim,Politician,250k+,NZ,2005-10-17,False,False
CUS-332614DD,RCV-B28C90EA,Noah Tanaka,Teacher,100k-250k,AT,2008-02-13,False,False
CUS-14918AAB,SND-FFF32BA5,Anya Tanaka,Real Estate Agent,100k-250k,NZ,2001-06-10,False,False
CUS-F8A83851,SND-0E975639,Aiko Smith,Politician,25k-50k,JP,2013-11-18,False,False
CUS-8B926BA2,SND-786CCE62,Ingrid Petrova,Civil Servant,50k-100k,JP,2005-05-16,False,False
CUS-28802F1D,RCV-2E84A178,Valentina Smith,Business Owner,50k-100k,GB,2021-04-24,False,False
CUS-D5132DE8,SND-D3670260,Kwame Mueller,Doctor,100k-250k,CH,2008-06-17,True,False
CUS-C5AF0BE8,SND-E5667FA6,Chen Hassan,Consultant,<25k,NZ,2021-08-08,False,False
CUS-2B2F2CC8,SND-5BA2AD54,Omar Tanaka,Software Engineer,250k+,NI,2006-03-22,False,True
CUS-620B26B6,SND-24489796,Maria Ali,Retired,<25k,PT,2019-03-19,False,False
CUS-95CF9303,SND-4007E8BC,Liam Sharma,Retired,100k-250k,DK,2003-11-09,False,False
CUS-4389815B,SND-7B3CC083,Valentina Osei,Unknown,100k-250k,NO,2021-09-09,False,False
CUS-AA771620,SND-3887060D,James Lindqvist,Doctor,25k-50k,NO,2016-07-01,False,False
CUS-439CDEF7,SND-22F187C1,Sofia Sharma,Doctor,100k-250k,JP,2000-11-22,False,False
CUS-77D77D6F,SND-31A0CF7D,Kwame Sharma,Civil Servant,250k+,JP,2011-12-14,False,False
CUS-8390015F,SND-49C720E6,Lucas Rossi,Unknown,<25k,PT,2020-06-11,True,False
CUS-06DC1A79,RCV-D92AA1EB,James Nguyen,Real Estate Agent,50k-100k,MM,2020-02-26,False,True
CUS-FE9163F4,SND-BDBDF73E,Chen Mueller,Pharmacist,50k-100k,DE,2020-01-08,False,False
CUS-A4A95EC7,SND-1EA376B1,Priya Mueller,Trader,50k-100k,AU,2012-10-19,False,False
CUS-5B74DEE0,SND-6866A25B,Mohammed Wang,Architect,<25k,GB,2018-06-05,False,False
CUS-9E947C6D,SND-A59294DE,Aiko Nguyen,Politician,25k-50k,DK,2004-03-05,False,False
CUS-B4373C35,SND-5C9A69F9,Priya Osei,Nurse,25k-50k,JP,2006-02-27,False,False
CUS-CACDEE6C,SND-F2301D3F,Aiko Dubois,Business Owner,25k-50k,IT,2018-06-17,False,False
CUS-929CF0F3,SND-889D8D9D,Priya Kim,Business Owner,<25k,GB,2019-02-20,False,False
CUS-1CE774D8,SND-AB5C0D34,Omar Smith,Lawyer,50k-100k,PT,2017-06-10,False,False
CUS-70D74ED2,RCV-D872A559,Ingrid Wang,Freelancer,100k-250k,GB,2011-08-06,False,False
CUS-5A51D26B,RCV-A450F470,Omar Osei,Civil Servant,100k-250k,CH,2020-08-27,False,False
CUS-D0ECF079,SND-45DF9FDD,Sofia Rossi,Pharmacist,250k+,CH,2017-02-12,False,False
CUS-A05AC330,RCV-EE047264,Diego Hassan,Nurse,50k-100k,CH,2008-03-07,False,False
CUS-1C7B695E,SND-D1E8DD24,Elena Petrova,Accountant,250k+,NZ,2011-08-24,False,False
CUS-71B4CFE3,RCV-6C542217,Amara Wang,Student,<25k,US,2002-03-11,False,False
CUS-F969C636,SND-5691471E,Anya Wang,Freelancer,100k-250k,NL,2007-03-19,False,False
CUS-D24709CC,SND-F88D5D8D,Chen Tanaka,Lawyer,250k+,FR,2020-06-03,False,False
CUS-8D573597,SND-0B20B250,Maria Kim,Unknown,<25k,CH,2000-04-27,False,False
CUS-ACF24FEE,SND-586BA7F8,Aiko Osei,Real Estate Agent,250k+,AU,2001-08-18,False,False
CUS-24502556,RCV-E48F0E76,Ingrid Brown,Nurse,<25k,JP,2007-06-08,False,False
CUS-D19516A4,RCV-B2DE1215,Aiko Mueller,Architect,50k-100k,AU,2014-10-15,False,False
CUS-ECD7BBD8,SND-37FC2BF1,Chen Smith,Lawyer,<25k,NL,2017-08-14,False,False
CUS-0F24D0BE,RCV-933D4CAE,Chen Wang,Architect,250k+,BE,2005-01-24,False,False
CUS-8C613571,RCV-50A68318,Ingrid Petrova,Architect,25k-50k,SE,2019-03-02,False,False
CUS-E666B698,SND-1BB83BE9,Chen Petrova,Pharmacist,<25k,US,2021-11-22,False,False
CUS-7BED860C,SND-A72C62A0,Anya Kim,Freelancer,25k-50k,GB,2009-10-12,False,False
CUS-02BCA822,SND-A7B59348,Elena Fernandez,Politician,50k-100k,AU,2018-07-13,False,False
CUS-9FEB77AA,SND-8532A697,Sofia Ibrahim,Freelancer,250k+,AU,2008-06-11,False,False
CUS-00AA5428,SND-D837BE87,Amara Garcia,Doctor,<25k,NO,2009-08-25,False,False
CUS-FC30CBD6,SND-01D1DB4D,Amara Ali,Trader,25k-50k,ES,2020-04-12,False,False
CUS-8ADD0D26,SND-4F7D00A8,Elena Hassan,Civil Servant,25k-50k,US,2015-09-14,False,False
CUS-52CF9CCF,SND-499A9B65,Ingrid Kim,Architect,25k-50k,FI,2016-08-09,False,False
CUS-BD2EE2DE,SND-98A16954,Anya Nguyen,Chef,<25k,NZ,2002-04-04,False,False
CUS-80FCDA95,RCV-9F2BD0F6,Anya Santos,Student,50k-100k,IT,2004-07-06,False,False
CUS-FD6417F3,RCV-56C945E9,Priya Wang,Unknown,50k-100k,DE,2010-06-08,False,False
CUS-F81CFB6D,RCV-386D76BD,Valentina Ali,Nurse,100k-250k,FI,2004-03-06,False,False
CUS-369004AA,RCV-10234619,Ingrid Ibrahim,Unknown,50k-100k,FI,2019-06-14,False,False
CUS-B80D8900,SND-7AB9BF98,Diego Petrova,Import/Export Manager,250k+,BE,2004-08-21,False,False
CUS-06020643,SND-D26881BF,Yusuf Wang,Nurse,250k+,UA,2021-03-20,False,True
CUS-0931DDBB,SND-A2D303C8,Fatima Kim,Teacher,100k-250k,NO,2020-09-16,False,False
CUS-8E68DA53,RCV-3A0B58A8,Yusuf Fernandez,Real Estate Agent,250k+,US,2001-12-02,False,False
CUS-D53C7352,RCV-DD64F620,Priya Rossi,Consultant,250k+,AU,2010-08-13,False,False
CUS-B7FB8263,SND-B520A53D,Chen Ali,Software Engineer,<25k,FR,2006-11-06,False,False
CUS-EA8E445F,SND-1E8AA7ED,Sofia Smith,Teacher,250k+,PK,2008-03-15,False,True
CUS-0AE3198D,SND-BE193A82,Aiko Brown,Civil Servant,25k-50k,NZ,2014-09-14,False,False
CUS-618EBEE7,RCV-28173F62,Ingrid Ibrahim,Unknown,100k-250k,NL,2004-07-08,True,False
CUS-49CD0783,SND-D2249463,James Brown,Consultant,50k-100k,NI,2021-08-09,False,True
CUS-09E6110D,SND-86BB90DE,Noah Mueller,Politician,100k-250k,JP,2018-08-26,False,False
CUS-52D63694,SND-3A822722,Fatima Brown,Freelancer,250k+,US,2012-01-06,False,False
CUS-AB737A37,SND-844B0CB6,Ingrid Hassan,Retired,<25k,SG,2015-09-01,False,False
CUS-ED9ED34B,SND-27734922,Amara Fernandez,Trader,25k-50k,CH,2014-11-05,False,False
CUS-541F88E9,SND-440F17A9,Omar Kim,Software Engineer,50k-100k,US,2014-11-07,False,False
CUS-259DB0E5,SND-43A9DAD0,Ingrid Hassan,Teacher,250k+,ZW,2021-03-05,False,True
CUS-C30C97F1,RCV-9E08E6EB,Amara Nguyen,Retired,250k+,DK,2014-07-14,False,False
CUS-E3E11FE9,SND-B2AE2832,Valentina Hassan,Chef,250k+,NI,2003-07-14,False,True
CUS-374970A7,SND-A25BB2CE,Fatima Mensah,Freelancer,250k+,IT,2006-04-26,False,False
CUS-A48F75FB,SND-E7FFA774,Kwame Lindqvist,Lawyer,50k-100k,DE,2017-02-02,False,False
CUS-69CEB6C4,SND-293EF26D,Yusuf Dubois,Business Owner,50k-100k,CA,2013-11-16,False,False
CUS-83BEFA2A,RCV-D13D16AC,Elena Smith,Consultant,250k+,AT,2017-09-16,False,False
CUS-D3137508,SND-9035607A,Maria Osei,Doctor,25k-50k,SE,2000-02-25,False,False
CUS-BA8432C2,SND-C0BB3D2B,Priya Garcia,Import/Export Manager,100k-250k,NL,2021-06-11,False,False
CUS-BE081CFF,RCV-83BA6212,Maria Nguyen,Lawyer,100k-250k,SG,2004-06-09,False,False
CUS-83DD1EE9,SND-B48880E6,Anya Dubois,Consultant,250k+,AU,2015-10-19,False,False
CUS-50BDE4C5,SND-A2892493,Chen Nguyen,Doctor,100k-250k,US,2001-08-14,False,False
CUS-8CCBC1A8,RCV-AE01EA64,Ingrid Nguyen,Retired,100k-250k,LY,2002-12-04,False,True
CUS-BE8C181C,SND-192D0284,Chen Osei,Lawyer,50k-100k,DE,2019-06-08,False,False
CUS-D40E090E,SND-146DAADE,Anya Ibrahim,Nurse,25k-50k,ES,2012-12-26,True,False
CUS-9B667486,SND-ECDA33EC,Valentina Nguyen,Business Owner,250k+,US,2000-02-01,False,False
CUS-B098BEB1,RCV-976BA2CE,Anya Brown,Real Estate Agent,100k-250k,PT,2003-11-18,False,False
CUS-805D0469,SND-47D2B321,Maria Ibrahim,Unknown,50k-100k,CH,2016-01-11,False,False
CUS-5981A253,RCV-66062888,Mohammed Tanaka,Consultant,100k-250k,JP,2014-12-06,False,False
CUS-3915AD86,SND-0C9F1605,Fatima Osei,Politician,250k+,DE,2004-10-26,False,False
CUS-0607511E,SND-F8232366,Chen Fernandez,Consultant,100k-250k,VE,2015-07-10,False,True
CUS-EC703CBE,RCV-03C33D9C,James Osei,Unknown,<25k,DE,2010-05-22,False,False
CUS-4E789BF2,RCV-B5A9873C,Kwame Ali,Chef,25k-50k,DK,2016-10-27,False,False
CUS-1D805F94,SND-AF42307E,Kwame Ibrahim,Trader,<25k,FR,2006-06-21,False,False
CUS-A7E1A093,SND-40537B15,Kwame Kim,Trader,100k-250k,NZ,2005-07-16,False,False
CUS-CF4CC4D5,SND-9B90F230,Aiko Fernandez,Trader,50k-100k,DE,2020-08-07,False,False
CUS-6D6EF98F,SND-9BAD9428,Maria Hassan,Architect,250k+,DE,2015-07-08,False,False
CUS-6A6E08A0,SND-6C41803C,Fatima Mueller,Real Estate Agent,250k+,AF,2003-08-08,False,True
CUS-CC7D6C32,RCV-F837850F,Lucas Garcia,Real Estate Agent,250k+,VE,2006-07-09,False,True
CUS-19624501,SND-310C6FB7,James Brown,Architect,<25k,NO,2015-01-16,False,False
CUS-38E087AF,SND-8A207D7E,Noah Mensah,Consultant,<25k,GB,2016-09-18,False,False
CUS-EEE60069,SND-2437FF79,Yusuf Brown,Nurse,50k-100k,NO,2001-11-27,False,False
CUS-4CC98CED,SND-5535E83E,Chen Lindqvist,Retired,100k-250k,SG,2013-04-03,False,False
CUS-32DF3C17,SND-91282BB5,James Petrova,Import/Export Manager,100k-250k,PT,2012-07-17,False,False
CUS-C846FE5D,RCV-CCA434B6,Diego Nguyen,Accountant,50k-100k,DE,2021-04-03,True,False
CUS-FA1FCC1E,SND-D6FB9B31,James Brown,Student,250k+,SG,2010-08-16,False,False
CUS-257A3C63,SND-7CB93840,Diego Lindqvist,Consultant,25k-50k,NO,2013-07-12,False,False
CUS-81782834,SND-70D9C58B,Diego Wang,Doctor,250k+,FR,2007-02-23,False,False
CUS-D7D144F2,SND-A0EE2822,Liam Nguyen,Civil Servant,100k-250k,ES,2011-12-21,False,False
CUS-40DFFC30,RCV-32C35CD4,Ingrid Dubois,Teacher,250k+,AT,2007-09-24,False,False
CUS-BBF5E105,RCV-30C6DB8B,Anya Dubois,Retired,50k-100k,FR,2012-10-08,False,False
CUS-A8D4B50A,SND-F2B4896D,Noah Dubois,Consultant,50k-100k,SE,2008-06-04,False,False
CUS-74BF1315,SND-4E9382AF,Noah Ibrahim,Unknown,250k+,SG,2015-01-24,False,False
CUS-D940D4EB,SND-E3E4DC05,Ingrid Dubois,Doctor,250k+,BY,2007-06-23,False,True
CUS-7F13CC0E,SND-91CC300B,Maria Lindqvist,Civil Servant,100k-250k,MM,2010-05-12,False,True
